,id,name,gdp,population
0,-1,Northern Cyprus,,
1,-2,Kosovo,6649888888.88889,1816200.0
2,-3,Somaliland,,
3,4,Afghanistan,19469022207.6357,34656032.0
4,8,Albania,11863865978.0942,2876101.0
5,10,Antarctica,,
6,12,Algeria,159049096745.249,40606052.0
7,16,American Samoa,658000000.0,55599.0
8,20,Andorra,2858517699.11504,77281.0
9,24,Angola,95335111741.2025,28813463.0
10,28,Antigua and Barbuda,1460144703.7037,100963.0
11,31,Azerbaijan,37847715736.0406,9757812.0
12,32,Argentina,545476103427.247,43847430.0
13,36,Australia,1204616439828.41,24210809.0
14,40,Austria,390799991147.468,8736668.0
15,44,Bahamas,,
16,48,Bahrain,32179069148.9362,1425171.0
17,50,Bangladesh,221415162445.648,162951560.0
18,51,Armenia,10572298341.5618,2924816.0
19,52,Barbados,4529050000.0,284996.0
20,56,Belgium,467955709817.539,11331422.0
21,60,Bermuda,,65341.0
22,64,Bhutan,2212638830.39439,797765.0
23,68,Bolivia,33806395513.7482,10887882.0
24,70,Bosnia and Herzegovina,16910277133.6463,3516816.0
25,72,Botswana,15581137273.7728,2250260.0
26,74,Bouvet Island,,
27,76,Brazil,1796186586414.45,207652865.0
28,84,Belize,1741100000.0,366954.0
29,86,British Indian Ocean Territory,,
30,90,Solomon Islands,1202125000.0,599419.0
31,92,Virgin Islands,,
32,96,Brunei Darussalam,11400653731.9916,423196.0
33,100,Bulgaria,53237882472.7108,7127822.0
34,104,Myanmar,63225097051.255,52885223.0
35,108,Burundi,3007029030.4001,10524117.0
36,112,Belarus,47407217531.162,9501534.0
37,116,Cambodia,20016747754.0192,15762370.0
38,120,Cameroon,32217497470.489,23439189.0
39,124,Canada,1535767736946.18,36264604.0
40,132,Cape Verde,,
41,136,Cayman Islands,,60765.0
42,140,Central African Republic,1756124677.19671,4594621.0
43,144,Sri Lanka,81321876307.2556,21203000.0
44,148,Chad,9600761473.78738,14452543.0
45,152,Chile,247027912574.35,17909754.0
46,156,China,11199145157649.2,1378665000.0
47,158,Taiwan,,
48,162,Christmas Island,,
49,166,Cocos (Keeling) Islands,,
50,170,Colombia,282462551366.878,48653419.0
51,174,Comoros,616654490.413179,795601.0
52,175,Mayotte,,
53,178,Congo,,
